T,top_p,llamadas_ok,exactitud,exactitud_sd_entre_corridas,estabilidad,casos_5de5,tokens_salida_medio,costo_celda_USD
0.0,0.5,50,0.3,0.0,1.0,10,2.8,0.000397
0.0,0.9,50,0.3,0.0,0.98,9,2.8,0.000397
0.0,1.0,50,0.3,0.0,1.0,10,2.8,0.000397
0.3,0.5,50,0.3,0.0,0.94,8,2.8,0.000397
0.3,0.9,50,0.3,0.0,0.9,8,2.8,0.000397
0.3,1.0,50,0.3,0.0,0.94,7,2.8,0.000397
0.7,0.5,50,0.3,0.0,0.9,7,2.82,0.000397
0.7,0.9,50,0.3,0.0,0.9,8,2.8,0.000397
0.7,1.0,50,0.3,0.0,0.84,7,2.84,0.000398
1.0,0.5,50,0.3,0.0,0.92,8,2.84,0.000398
1.0,0.9,50,0.32,0.045,0.82,5,2.9,0.0004
1.0,1.0,50,0.3,0.0,0.8,6,2.88,0.000399
1.5,0.5,50,0.3,0.0,0.9,7,2.86,0.000399
1.5,0.9,50,0.32,0.045,0.76,5,2.9,0.0004
1.5,1.0,50,0.32,0.045,0.68,5,8.7,0.000574
